"","Pais","Año_2019"
"1","Afghanistan",4647
"2","Albania",1121
"3","Algeria",12597
"4","Andorra",1
"5","Angola",18795
"6","Antigua and Barbuda",12
"7","Argentina",49875
"8","Armenia",1158
"9","Australia",61687
"10","Austria",3779
"11","Azerbaijan",4478
"12","Bahamas, The",34
"13","Bahrain",181
"14","Bangladesh",27472
"15","Barbados",38
"16","Belarus",15522
"17","Belgium",4623
"18","Belize",204
"19","Benin",3093
"20","Bhutan",102
"21","Bolivia",9692
"22","Bosnia and Herzegovina",1268
"23","Botswana",1333
"24","Brazil",182232
"25","Brunei Darussalam",121
"26","Bulgaria",4368
"27","Burkina Faso",9729
"28","Burundi",1684
"29","Cabo Verde",56
"30","Cambodia",4834
"31","Cameroon",62183
"32","Canada",44164
"33","Central African Republic",10056
"34","Chad",25832
"35","Chile",6599
"36","China",536538
"37","Colombia",22577
"38","Comoros",47
"39","Congo, Dem. Rep.",14859
"40","Congo, Rep.",1777
"41","Costa Rica",1988
"42","Cote d'Ivoire",3328
"43","Croatia",1760
"44","Cuba",3480
"45","Cyprus",369
"46","Czechia",5078
"47","Denmark",5419
"48","Djibouti",258
"49","Dominica",21
"50","Dominican Republic",3404
"51","Ecuador",5276
"52","Egypt, Arab Rep.",20367
"53","El Salvador",932
"54","Equatorial Guinea",34
"55","Eritrea",1719
"56","Estonia",1829
"57","Eswatini",447
"58","Ethiopia",51133
"59","Fiji",198
"60","Finland",6008
"61","France",37375
"62","Gabon",584
"63","Gambia, The",341
"64","Georgia",1970
"65","Germany",35033
"66","Ghana",5489
"67","Greece",4419
"68","Grenada",7
"69","Guatemala",4899
"70","Guinea",6496
"71","Guinea-Bissau",763
"72","Guyana",580
"73","Haiti",1521
"74","Honduras",3005
"75","Hungary",6334
"76","Iceland",369
"77","India",270295
"78","Indonesia",72524
"79","Iran, Islamic Rep.",38474
"80","Iraq",5557
"81","Ireland",9552
"82","Israel",2699
"83","Italy",16450
"84","Jamaica",439
"85","Japan",18890
"86","Jordan",1291
"87","Kazakhstan",11865
"88","Kenya",20241
"89","Kiribati",5
"90","Korea, Dem. People's Rep.",2884
"91","Korea, Rep.",10311
"92","Kuwait",1003
"93","Kyrgyz Republic",1977
"94","Lao PDR",2939
"95","Latvia",2318
"96","Lebanon",899
"97","Lesotho",482
"98","Liberia",317
"99","Libya",1788
"100","Liechtenstein",0
"101","Lithuania",4487
"102","Luxembourg",384
"103","Madagascar",7491
"104","Malawi",5049
"105","Malaysia",9257
"106","Maldives",10
"107","Mali",13985
"108","Malta",49
"109","Marshall Islands",0
"110","Mauritania",3245
"111","Mauritius",238
"112","Mexico",43635
"113","Micronesia, Fed. Sts.",27
"114","Moldova",1085
"115","Mongolia",14729
"116","Montenegro",150
"117","Morocco",8900
"118","Mozambique",9714
"119","Myanmar",22435
"120","Namibia",2333
"121","Nauru",0
"122","Nepal",6988
"123","Netherlands",8500
"124","New Zealand",15000
"125","Nicaragua",3405
"126","Niger",12622
"127","Nigeria",40849
"128","North Macedonia",523
"129","Norway",3566
"130","Oman",1063
"131","Pakistan",67252
"132","Palau",0
"133","Panama",1254
"134","Papua New Guinea",1720
"135","Paraguay",10380
"136","Peru",10358
"137","Philippines",14320
"138","Poland",23410
"139","Portugal",3157
"140","Qatar",618
"141","Romania",9673
"142","Russian Federation",67353
"143","Rwanda",1998
"144","Samoa",42
"145","Sao Tome and Principe",16
"146","Saudi Arabia",8206
"147","Senegal",5696
"148","Serbia",4089
"149","Seychelles",4
"150","Sierra Leone",1113
"151","Singapore",9929
"152","Slovak Republic",2043
"153","Slovenia",823
"154","Solomon Islands",23
"155","Somalia",6526
"156","South Africa",18209
"157","South Sudan",18251
"158","Spain",20518
"159","Sri Lanka",2525
"160","St. Kitts and Nevis",7
"161","St. Lucia",27
"162","St. Vincent and the Grenadines",9
"163","Sudan",28787
"164","Suriname",186
"165","Sweden",6193
"166","Switzerland",2400
"167","Syrian Arab Republic",3189
"168","Tajikistan",2413
"169","Tanzania",26646
"170","Thailand",19638
"171","Timor-Leste",303
"172","Togo",1757
"173","Tonga",51
"174","Trinidad and Tobago",419
"175","Tunisia",3341
"176","Turkiye",34965
"177","Turkmenistan",6209
"178","Tuvalu",1
"179","Uganda",11883
"180","Ukraine",27478
"181","United Arab Emirates",1921
"182","United Kingdom",29218
"183","United States",263498
"184","Uruguay",7949
"185","Uzbekistan",16784
"186","Vanuatu",90
"187","Venezuela, RB",12789
"188","Vietnam",24699
"189","Yemen, Rep.",3477
"190","Zambia",12623
"191","Zimbabwe",5195
"192","Africa Eastern and Southern",265714
"193","Africa Western and Central",209354
"194","Arab World",113271
"195","Caribbean small states",1988
"196","Central Europe and the Baltics",62128
"197","Early-demographic dividend",892132
"198","East Asia & Pacific",843207
"199","East Asia & Pacific (excluding high income)",727266
"200","East Asia & Pacific (IDA & IBRD countries)",724382
"201","Euro area",161725
"202","Europe & Central Asia",459886
"203","Europe & Central Asia (excluding high income)",204783
"204","Europe & Central Asia (IDA & IBRD countries)",239627
"205","European Union",223963
"206","Fragile and conflict affected situations",401579
"207","Heavily indebted poor countries (HIPC)",370863
"208","High income",711348
"209","IBRD only",1690770
"210","IDA & IBRD total",2302209
"211","IDA blend",216629
"212","IDA only",394809
"213","IDA total",611438
"214","Late-demographic dividend",996782
"215","Latin America & Caribbean",387245
"216","Latin America & Caribbean (excluding high income)",357561
"217","Latin America & the Caribbean (IDA & IBRD countries)",383692
"218","Least developed countries: UN classification",387772
"219","Low & middle income",2244114
"220","Low income",249816
"221","Lower middle income",829928
"222","Middle East & North Africa",115886
"223","Middle East & North Africa (excluding high income)",100144
"224","Middle East & North Africa (IDA & IBRD countries)",100144
"225","Middle income",1994297
"226","North America",307663
"227","OECD members",769314
"228","Other small states",11048
"229","Pacific island small states",440
"230","Post-demographic dividend",681232
"231","Pre-demographic dividend",398055
"232","Small states",13478
"233","South Asia",379293
"234","South Asia (IDA & IBRD)",379293
"235","Sub-Saharan Africa",475069
"236","Sub-Saharan Africa (excluding high income)",475065
"237","Sub-Saharan Africa (IDA & IBRD countries)",475069
"238","Upper middle income",1164369
"239","World",2987194
