"","Pais","Año_2019"
"1","Afghanistan",11238
"2","Albania",4993
"3","Algeria",170582
"4","Andorra",479
"5","Angola",24382
"6","Antigua and Barbuda",509
"7","Argentina",168162
"8","Armenia",6195
"9","Australia",395199
"10","Austria",64497
"11","Azerbaijan",35521
"12","Bahamas, The",2622
"13","Bahrain",32966
"14","Bangladesh",92645
"15","Barbados",1167
"16","Belarus",57681
"17","Belgium",92989
"18","Belize",736
"19","Benin",7475
"20","Bhutan",1433
"21","Bolivia",21828
"22","Bosnia and Herzegovina",21124
"23","Botswana",7198
"24","Brazil",434318
"25","Brunei Darussalam",7057
"26","Bulgaria",39159
"27","Burkina Faso",5646
"28","Burundi",707
"29","Cabo Verde",617
"30","Cambodia",18093
"31","Cameroon",9557
"32","Canada",566001
"33","Central African Republic",235
"34","Chad",1583
"35","Chile",91915
"36","China",10762824
"37","Colombia",79186
"38","Comoros",326
"39","Congo, Dem. Rep.",3031
"40","Congo, Rep.",7006
"41","Costa Rica",7956
"42","Cote d'Ivoire",10838
"43","Croatia",16523
"44","Cuba",24418
"45","Cyprus",7191
"46","Czechia",97712
"47","Denmark",29696
"48","Djibouti",428
"49","Dominica",174
"50","Dominican Republic",25775
"51","Ecuador",39631
"52","Egypt, Arab Rep.",217908
"53","El Salvador",7912
"54","Equatorial Guinea",4876
"55","Eritrea",697
"56","Estonia",10060
"57","Eswatini",1169
"58","Ethiopia",17708
"59","Fiji",1393
"60","Finland",40987
"61","France",300561
"62","Gabon",5274
"63","Gambia, The",606
"64","Georgia",10549
"65","Germany",658693
"66","Ghana",18039
"67","Greece",59990
"68","Grenada",346
"69","Guatemala",19017
"70","Guinea",4517
"71","Guinea-Bissau",325
"72","Guyana",2795
"73","Haiti",3317
"74","Honduras",10196
"75","Hungary",47261
"76","Iceland",1638
"77","India",2423951
"78","Indonesia",605290
"79","Iran, Islamic Rep.",625251
"80","Iraq",180687
"81","Ireland",35812
"82","Israel",62796
"83","Italy",317223
"84","Jamaica",8394
"85","Japan",1073645
"86","Jordan",23147
"87","Kazakhstan",204592
"88","Kenya",19481
"89","Kiribati",73
"90","Korea, Dem. People's Rep.",55548
"91","Korea, Rep.",612133
"92","Kuwait",93863
"93","Kyrgyz Republic",10017
"94","Lao PDR",19170
"95","Latvia",7569
"96","Lebanon",26916
"97","Lesotho",2300
"98","Liberia",1146
"99","Libya",54692
"100","Liechtenstein",149
"101","Lithuania",11735
